,Time,Speed,Height
0,2021-01-01 00:00:00,4.6202,1.3305
1,2021-01-01 01:00:00,5.0729,1.3635
2,2021-01-01 02:00:00,5.6332,1.4122
3,2021-01-01 03:00:00,6.1224,1.4724
4,2021-01-01 04:00:00,7.1377,1.5494
5,2021-01-01 05:00:00,8.2155,1.6371
6,2021-01-01 06:00:00,9.2825,1.7459
7,2021-01-01 07:00:00,9.7743,1.8722
8,2021-01-01 08:00:00,9.7577,1.9990
9,2021-01-01 09:00:00,9.6216,2.0940
10,2021-01-01 10:00:00,10.2908,2.1753
11,2021-01-01 11:00:00,10.3067,2.2299
12,2021-01-01 12:00:00,10.2836,2.2597
13,2021-01-01 13:00:00,9.7130,2.2516
14,2021-01-01 14:00:00,8.6460,2.2085
15,2021-01-01 15:00:00,7.4774,2.1418
16,2021-01-01 16:00:00,6.6448,2.0686
17,2021-01-01 17:00:00,5.9330,2.0015
18,2021-01-01 18:00:00,5.4838,1.9380
19,2021-01-01 19:00:00,5.0788,1.8766
20,2021-01-01 20:00:00,4.5882,1.8179
21,2021-01-01 21:00:00,4.1898,1.7623
22,2021-01-01 22:00:00,3.7410,1.7100
23,2021-01-01 23:00:00,3.4255,1.6630
24,2021-01-02 00:00:00,3.1039,1.6207
25,2021-01-02 01:00:00,2.6802,1.5827
26,2021-01-02 02:00:00,2.2955,1.5485
27,2021-01-02 03:00:00,2.1207,1.5185
28,2021-01-02 04:00:00,2.3245,1.4922
29,2021-01-02 05:00:00,2.4008,1.4690
30,2021-01-02 06:00:00,2.4312,1.4477
31,2021-01-02 07:00:00,2.3778,1.4281
32,2021-01-02 08:00:00,2.2474,1.4092
33,2021-01-02 09:00:00,2.3047,1.3911
34,2021-01-02 10:00:00,2.3658,1.3721
35,2021-01-02 11:00:00,2.4279,1.3548
36,2021-01-02 12:00:00,2.3036,1.3378
37,2021-01-02 13:00:00,2.3102,1.3213
38,2021-01-02 14:00:00,2.7487,1.3075
39,2021-01-02 15:00:00,3.2743,1.2944
40,2021-01-02 16:00:00,3.8021,1.2836
41,2021-01-02 17:00:00,4.0535,1.2742
42,2021-01-02 18:00:00,4.0625,1.2665
43,2021-01-02 19:00:00,3.7935,1.2615
44,2021-01-02 20:00:00,3.5702,1.2593
45,2021-01-02 21:00:00,3.4967,1.2607
46,2021-01-02 22:00:00,4.1030,1.2658
47,2021-01-02 23:00:00,5.8499,1.2826
48,2021-01-03 00:00:00,6.4111,1.3071
49,2021-01-03 01:00:00,6.2999,1.3389
50,2021-01-03 02:00:00,6.0660,1.3707
51,2021-01-03 03:00:00,6.2726,1.4005
52,2021-01-03 04:00:00,6.7560,1.4327
