,Time,Speed,Height
0,2021-01-01 00:00:00,4.1223,0.9783
1,2021-01-01 01:00:00,4.8509,0.9742
2,2021-01-01 02:00:00,5.5651,0.9859
3,2021-01-01 03:00:00,5.7175,1.0066
4,2021-01-01 04:00:00,5.6839,1.0296
5,2021-01-01 05:00:00,5.4014,1.0558
6,2021-01-01 06:00:00,5.0658,1.0887
7,2021-01-01 07:00:00,4.9567,1.1322
8,2021-01-01 08:00:00,5.3121,1.1888
9,2021-01-01 09:00:00,5.7562,1.2585
10,2021-01-01 10:00:00,7.1915,1.3567
11,2021-01-01 11:00:00,7.7407,1.4705
12,2021-01-01 12:00:00,7.8613,1.5800
13,2021-01-01 13:00:00,8.0423,1.6687
14,2021-01-01 14:00:00,7.7897,1.7358
15,2021-01-01 15:00:00,8.0926,1.7887
16,2021-01-01 16:00:00,8.3606,1.8343
17,2021-01-01 17:00:00,8.5049,1.8701
18,2021-01-01 18:00:00,8.4676,1.8949
19,2021-01-01 19:00:00,8.4130,1.9052
20,2021-01-01 20:00:00,8.1231,1.9034
21,2021-01-01 21:00:00,7.7324,1.8815
22,2021-01-01 22:00:00,7.3896,1.8355
23,2021-01-01 23:00:00,7.3592,1.7863
24,2021-01-02 00:00:00,7.0183,1.7352
25,2021-01-02 01:00:00,6.4169,1.6811
26,2021-01-02 02:00:00,5.9240,1.6245
27,2021-01-02 03:00:00,5.6398,1.5712
28,2021-01-02 04:00:00,5.4888,1.5241
29,2021-01-02 05:00:00,5.0410,1.4826
30,2021-01-02 06:00:00,4.3105,1.4447
31,2021-01-02 07:00:00,3.5644,1.4106
32,2021-01-02 08:00:00,2.8122,1.3795
33,2021-01-02 09:00:00,2.1974,1.3528
34,2021-01-02 10:00:00,2.4508,1.3284
35,2021-01-02 11:00:00,2.3464,1.3062
36,2021-01-02 12:00:00,2.1636,1.2848
37,2021-01-02 13:00:00,2.2831,1.2634
38,2021-01-02 14:00:00,2.6575,1.2423
39,2021-01-02 15:00:00,3.0951,1.2222
40,2021-01-02 16:00:00,3.7125,1.2031
41,2021-01-02 17:00:00,4.3259,1.1843
42,2021-01-02 18:00:00,4.7489,1.1662
43,2021-01-02 19:00:00,4.7027,1.1479
44,2021-01-02 20:00:00,4.6526,1.1297
45,2021-01-02 21:00:00,4.5871,1.1147
46,2021-01-02 22:00:00,4.9222,1.1118
47,2021-01-02 23:00:00,5.3509,1.1229
48,2021-01-03 00:00:00,5.3631,1.1345
49,2021-01-03 01:00:00,5.9039,1.1567
50,2021-01-03 02:00:00,6.6612,1.1993
51,2021-01-03 03:00:00,7.6507,1.2681
52,2021-01-03 04:00:00,8.2635,1.3611
53,2021-01-03 05:00:00,8.6564,1.4610
54,2021-01-03 06:00:00,8.8446,1.5552
55,2021-01-03 07:00:00,9.3111,1.6485
56,2021-01-03 08:00:00,10.0291,1.7625
57,2021-01-03 09:00:00,10.3488,1.8920
58,2021-01-03 10:00:00,10.3594,1.9676
59,2021-01-03 11:00:00,10.3022,1.9990
60,2021-01-03 12:00:00,10.4122,2.0253
61,2021-01-03 13:00:00,10.5448,2.0480
62,2021-01-03 14:00:00,10.3510,2.0478
63,2021-01-03 15:00:00,10.0533,2.0312
64,2021-01-03 16:00:00,10.2206,2.0361
65,2021-01-03 17:00:00,11.0081,2.0888
