n_vessels,n_wind_farms,n_scenarios,instance,runtime,objval,solution_gap,charter_decision
2,1,6,2,7200.171591043472,8559588.472735744,0.0024050551549608286,['gamma_LT[SOV]: 1.0']
2,1,6,3,7200.229880809784,6929959.3307008445,0.00262744416111884,"['gamma_ST[SOV,November]: 1.0', 'gamma_ST[SOV,December]: 1.0', 'gamma_LT[CTV]: 2.0']"
2,1,6,4,7200.504216909409,8076101.3276932165,0.003663807494707894,['gamma_LT[SOV]: 1.0']
2,1,6,5,7200.255526065826,8030766.553464171,0.003094572825771419,['gamma_LT[SOV]: 1.0']
2,1,7,1,7200.150161027908,7752405.723466922,0.002629685804062756,"['gamma_ST[SOV,February]: 1.0', 'gamma_ST[SOV,December]: 1.0', 'gamma_LT[CTV]: 2.0']"
2,1,7,2,7200.485082149506,8223438.782594847,0.0027042966395292973,['gamma_LT[SOV]: 1.0']
2,1,7,3,7200.556759119034,6932799.866837428,0.0025997413455324282,"['gamma_ST[SOV,December]: 1.0', 'gamma_LT[CTV]: 2.0']"
2,1,7,4,7200.317015886307,8018926.357703015,0.0044707796384225945,['gamma_LT[SOV]: 1.0']
2,1,7,5,7200.470715045929,8140936.107927108,0.003832898373174232,['gamma_LT[SOV]: 1.0']
2,1,8,1,7200.218143224716,7668966.074080104,0.0037724489864673257,"['gamma_ST[SOV,February]: 1.0', 'gamma_ST[SOV,December]: 1.0', 'gamma_LT[CTV]: 2.0']"
2,1,8,2,7200.409606933594,8168846.278908024,0.0032337498870524902,['gamma_LT[SOV]: 1.0']
2,1,8,3,7200.327712059021,7537043.42308321,0.0036753395207990646,"['gamma_ST[CTV,February]: 1.0', 'gamma_ST[SOV,December]: 1.0', 'gamma_LT[CTV]: 2.0']"
2,1,8,4,7200.542483091354,8004619.0305167865,0.0030023256538670856,['gamma_LT[SOV]: 1.0']
2,1,8,5,7200.280168056488,8229856.107000984,0.003671696520537523,['gamma_LT[SOV]: 1.0']
2,1,9,1,7200.3179178237915,7608789.355017489,0.0036597115913463707,"['gamma_ST[SOV,December]: 1.0', 'gamma_LT[CTV]: 2.0']"
2,1,9,2,7200.4743819236755,8078990.835898253,0.0034331781507539348,['gamma_LT[SOV]: 1.0']
2,1,9,3,7200.22415304184,7959753.246821445,0.003677568513391799,"['gamma_ST[CTV,February]: 1.0', 'gamma_ST[SOV,January]: 1.0', 'gamma_ST[SOV,December]: 1.0', 'gamma_LT[CTV]: 2.0']"
2,1,9,4,7200.215579986572,7819570.103766754,0.003604780180319941,['gamma_LT[SOV]: 1.0']
2,1,9,5,7200.91694188118,8038158.338983472,0.003538604930415405,['gamma_LT[SOV]: 1.0']
2,1,10,1,7200.321814775467,7477384.850014692,0.004511174485124778,"['gamma_ST[SOV,December]: 1.0', 'gamma_LT[CTV]: 2.0']"
2,1,10,2,7200.6222088336945,8006303.7195036765,0.003924999150033045,['gamma_LT[SOV]: 1.0']
2,1,10,3,7200.346243143082,7879477.275403265,0.004041003970099419,"['gamma_ST[SOV,November]: 1.0', 'gamma_ST[SOV,December]: 1.0', 'gamma_LT[CTV]: 2.0']"
2,1,10,4,7200.264796972275,7740272.894318573,0.004026157872037459,['gamma_LT[SOV]: 1.0']
2,1,10,5,7200.26247215271,8143258.1789957015,0.004165368957771407,['gamma_LT[SOV]: 1.0']
