n_vessels,n_wind_farms,n_scenarios,instance,runtime,objval,solution_gap,charter_decision
3,3,8,1,7201.902065992355,22447089.50823698,0.12315945704657126,"['gamma_LT[CTV]: 5.0', 'gamma_LT[SOV]: 1.0']"
3,3,8,2,7204.5441291332245,24205283.795912683,0.17135850225768195,"['gamma_LT[CTV]: 6.0', 'gamma_LT[SOV]: 1.0']"
3,3,8,3,7203.18527007103,26770213.071840152,0.19272346277419125,"['gamma_LT[CTV]: 3.0', 'gamma_LT[SOV]: 3.0']"
3,3,8,4,7201.868227005005,22448931.45969508,0.10055862994758484,"['gamma_ST[CTV,January]: 1.0', 'gamma_LT[CTV]: 4.0', 'gamma_LT[SOV]: 1.0']"
3,3,8,5,7204.432031869888,23781594.729998447,0.16608637054544553,"['gamma_LT[CTV]: 6.0', 'gamma_LT[SOV]: 1.0']"
3,3,9,1,7202.709011077881,20847097.6387006,0.08366188540547359,"['gamma_LT[CTV]: 4.0', 'gamma_LT[SOV]: 1.0']"
3,3,9,2,7202.029719114304,21938687.992331848,0.10093494987100915,"['gamma_LT[CTV]: 3.0', 'gamma_LT[SOV]: 2.0']"
3,3,9,3,7202.3534688949585,25065481.98974993,0.17753217644522087,"['gamma_LT[CTV]: 2.0', 'gamma_LT[SOV]: 3.0']"
3,3,9,4,7201.76118183136,22499677.941131942,0.12608600155450625,"['gamma_LT[CTV]: 5.0', 'gamma_LT[SOV]: 1.0']"
3,3,9,5,7201.895709037781,22860254.739184115,0.1404867070080077,"['gamma_LT[CTV]: 5.0', 'gamma_LT[SOV]: 1.0']"
3,3,10,1,7202.187874078751,21942340.786287114,0.13093553764735927,"['gamma_LT[CTV]: 5.0', 'gamma_LT[SOV]: 1.0']"
3,3,10,2,7201.996261835098,23573454.081845447,0.17799003575182865,"['gamma_LT[CTV]: 6.0', 'gamma_LT[SOV]: 1.0']"
3,3,10,3,7203.124423027039,27586140.91417375,0.25701330951712664,"['gamma_LT[CTV]: 7.0', 'gamma_LT[SOV]: 1.0']"
3,3,10,4,7204.205421924591,21947776.773844216,0.10940657645296453,"['gamma_LT[CTV]: 3.0', 'gamma_LT[SOV]: 2.0']"
3,3,10,5,7202.4626479148865,23006579.826494705,0.14022088339713096,"['gamma_LT[CTV]: 4.0', 'gamma_LT[SOV]: 2.0']"
