n_vessels,n_wind_farms,n_scenarios,instance,runtime,objval,solution_gap,charter_decision
3,3,8,1,7202.66042304039,20056835.306229964,0.08413221798763029,"['gamma_LT[CTV]: 4.0', 'gamma_LT[SOV]: 1.0']"
3,3,8,2,7201.509802818298,21874837.90218389,0.10848946791352355,"['gamma_LT[CTV]: 3.0', 'gamma_LT[SOV]: 2.0']"
3,3,8,3,7201.966033935547,21384705.65260111,0.1282838919814254,"['gamma_LT[CTV]: 5.0', 'gamma_LT[SOV]: 1.0']"
3,3,8,4,7202.886260986328,21805923.399858806,0.13283891913347948,"['gamma_LT[CTV]: 5.0', 'gamma_LT[SOV]: 1.0']"
3,3,8,5,7203.197205066681,22158905.94161164,0.10730836715445796,"['gamma_LT[CTV]: 3.0', 'gamma_LT[SOV]: 2.0']"
3,3,9,1,7202.113306045532,20885814.113568712,0.12913616540105113,"['gamma_LT[CTV]: 3.0', 'gamma_LT[SOV]: 2.0']"
3,3,9,2,7201.660228013992,21900705.86788217,0.13474080060858237,"['gamma_LT[CTV]: 5.0', 'gamma_LT[SOV]: 1.0']"
3,3,9,3,7202.2828249931335,20514733.41768363,0.08736614905284712,"['gamma_LT[CTV]: 4.0', 'gamma_LT[SOV]: 1.0']"
3,3,9,4,7203.8643679618835,20276123.91715075,0.08513083748766055,"['gamma_LT[CTV]: 4.0', 'gamma_LT[SOV]: 1.0']"
3,3,9,5,7202.716902017593,21323384.147574246,0.0827153405870752,"['gamma_LT[CTV]: 4.0', 'gamma_LT[SOV]: 1.0']"
3,3,10,1,7202.549993991852,19482324.832976043,0.09379689373685657,"['gamma_LT[CTV]: 4.0', 'gamma_LT[SOV]: 1.0']"
3,3,10,2,7202.157939910889,23192637.529188275,0.1803913852944909,"['gamma_LT[CTV]: 6.0', 'gamma_LT[SOV]: 1.0']"
3,3,10,3,7202.881919145584,21267348.00844113,0.1173059432965352,"['gamma_LT[CTV]: 3.0', 'gamma_LT[SOV]: 2.0']"
3,3,10,4,7202.711770057678,21341472.03849845,0.14157814065439547,"['gamma_LT[CTV]: 5.0', 'gamma_LT[SOV]: 1.0']"
3,3,10,5,7202.176159143448,23670152.547573876,0.1816723303085322,"['gamma_LT[CTV]: 6.0', 'gamma_LT[SOV]: 1.0']"
